V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
2400706,QUIBE,56001,Serviços  de alimentação,,,,,,,,
2400707,CROQUETE,56001,Serviços  de alimentação,,,,,,,,
2400708,RISOLE,56001,Serviços  de alimentação,,,,,,,,
2400709,ENROLADINHO,56001,Serviços  de alimentação,,,,,,,,
2400710,BOLINHO SALGADO,56001,Serviços  de alimentação,,,,,,,,
2400711,CHURRASQUINHO (ESPETINHO),56001,Serviços  de alimentação,,,,,,,,
2400712,ESPETINHO DE CARNE,56001,Serviços  de alimentação,,,,,,,,
2400713,ESPETINHO DE FRANGO,56001,Serviços  de alimentação,,,,,,,,
2400714,ESPETINHO DE QUEIJO COALHO,56001,Serviços  de alimentação,,,,,,,,
2400715,SALSICHAO,56001,Serviços  de alimentação,,,,,,,,
2400716,PIZZA EM FATIA,56001,Serviços  de alimentação,,,,,,,,
2400717,PAO DE QUEIJO,56001,Serviços  de alimentação,,,,,,,,
2400718,ESPIGA DE MILHO ASSADA OU COZIDA,56001,Serviços  de alimentação,,,,,,,,
2400719,MILHO ASSADO OU COZIDO,56001,Serviços  de alimentação,,,,,,,,
2400720,TORTA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400721,CREPE,56001,Serviços  de alimentação,,,,,,,,
2400722,TAPIOCA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400723,ACARAJE,56001,Serviços  de alimentação,,,,,,,,
2400724,ABARA,56001,Serviços  de alimentação,,,,,,,,
2400725,OVO COZIDO,56001,Serviços  de alimentação,,,,,,,,
2400726,PIPOCA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400727,BARRA DE CEREAL SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400728,CASQUINHA DE SIRI,56001,Serviços  de alimentação,,,,,,,,
2400729,CARANGUEJO,56001,Serviços  de alimentação,,,,,,,,
2400730,TABUA DE FRIOS,56001,Serviços  de alimentação,,,,,,,,
2400731,PORCAO DE QUEIJO,56001,Serviços  de alimentação,,,,,,,,
2400732,PORCAO DE SALAME,56001,Serviços  de alimentação,,,,,,,,
2400733,PORCAO DE SALAMINHO,56001,Serviços  de alimentação,,,,,,,,
2400734,PORCAO DE CARNE,56001,Serviços  de alimentação,,,,,,,,
2400735,PORCAO DE FRANGO,56001,Serviços  de alimentação,,,,,,,,
2400736,PORCAO DE PEIXE FRITO,56001,Serviços  de alimentação,,,,,,,,
2400737,PORCAO DE BATATA FRITA,56001,Serviços  de alimentação,,,,,,,,
2400738,PORCAO DE AMENDOIN SALGADO,56001,Serviços  de alimentação,,,,,,,,
2400739,PORCAO DE CASTANHA DE CAJU,56001,Serviços  de alimentação,,,,,,,,
2400740,CUZCUZ SALGADO,56001,Serviços  de alimentação,,,,,,,,
