V9001;descricao.produto;cnae;pas;tru.cod;tru.desc;discrepancias;produto.intermediacao;produto.intermediacao.internacional;produto.intermediacao.49002;produto.intermediacao.50001;produto.intermediacao.51001;produto.intermediacao.55001;produto.intermediacao.56001;produto.intermediacao.90801;POF2009
2801101;VOLEIBOL (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801201;AUTOMOBILISMO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801301;JOGOS ELETRONICOS (FICHA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801302;FLIPERAMA (FICHA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801303;VIDEOGAME (FICHA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801304;JOGOS ELETRONICOS (INTERNET);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801401;SINUCA (FICHA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801501;ALUGUEL DE BICICLETA;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801601;ALUGUEL DE CADEIRA DE PRAIA;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801701;ALUGUEL DE QUADRA OU CAMPO;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801702;ALUGUEL DE QUADRA;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801703;ALUGUEL DE CAMPO;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801801;CLUBE (MENSALIDADE OU TAXA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801802;ASSOCIACAO RECREATIVA (MENSALIDADE OU TAXA);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801803;MENSALIDADE DE CLUBE;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801804;TAXA DE CLUBE;28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800101;CINEMA (INGRESSO);28;Serviços audiovisuais;59801;Serviços cinematográficos, música, rádio e televisão;;;;;;;;;;
2400101;ALMOCO OU JANTAR A PESO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400102;ALMOCO A PESO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400103;JANTAR A PESO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400104;ALMOCO A PESO E BEBIDA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400105;JANTAR A PESO E BEBIDA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400106;ALMOCO A PESO E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400107;JANTAR A PESO E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400108;ALMOCO A PESO, BEBIDA E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400109;JANTAR A PESO, BEBIDA E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
